Year,Journal,Volume,Pages,Index?,Location,,
1940,Firm Foundation,57,434,N,FSU/Firm Foundation plain text/FF 1940,,
1941,Firm Foundation,58,408,N,FSU/Firm Foundation plain text/FF 1941,,
1942,Firm Foundation,59,409,N,FSU/Firm Foundation plain text/FF 1942,,
1943,Firm Foundation,60,770,N,FSU/Firm Foundation plain text/FF 1943,,
1944,Firm Foundation,61,816,N,FSU/Firm Foundation plain text/FF 1944,,
1945,Firm Foundation,62,820,Y,FSU/Firm Foundation plain text/FF 1945,,
1946,Firm Foundation,63,707,Y,FSU/Firm Foundation plain text/FF 1946,,
1947,Firm Foundation,64,820,Y,FSU/Firm Foundation plain text/FF 1947,,
1948,Firm Foundation,65,800,N,FSU/Firm Foundation plain text/FF 1948,,
1949,Firm Foundation,66,862,Y,FSU/Firm Foundation plain text/FF 1949,,
1950,Firm Foundation,67,844,Y,FSU/Firm Foundation plain text/FF 1950,,
1951,Firm Foundation,68,770,Y,FSU/Firm Foundation plain text/FF 1951,,
1952,Firm Foundation,69,844,Y,FSU/Firm Foundation plain text/FF 1952,,
1953,Firm Foundation,70,824,Y,FSU/Firm Foundation plain text/FF 1953,,
1954,Firm Foundation,71,832,N,FSU/Firm Foundation plain text/FF 1954,,
1955,Firm Foundation,72,848,N,FSU/Firm Foundation plain text/FF 1955,,
1956,Firm Foundation,73,828,Y,FSU/Firm Foundation plain text/FF 1956,,
1957,Firm Foundation,74,832,Y,FSU/Firm Foundation plain text/FF 1957,,
1958,Firm Foundation,75,816,Y,FSU/Firm Foundation plain text/FF 1958,,
1959,Firm Foundation,76,816,Y,FSU/Firm Foundation plain text/FF 1959,,
1960,Firm Foundation,77,816,Y,FSU/Firm Foundation plain text/FF 1960,,
1961,Firm Foundation,78,815,Y,FSU/Firm Foundation plain text/FF 1961,,
1962,Firm Foundation,79,816,Y,FSU/Firm Foundation plain text/FF 1962,,
1963,Firm Foundation,80,832,Y,FSU/Firm Foundation plain text/FF 1963,,
1964,Firm Foundation,81,822,Y,FSU/Firm Foundation plain text/FF 1964,,
1965,Firm Foundation,82,816,Y,FSU/Firm Foundation plain text/FF 1965,,
1966,Firm Foundation,83,814,Y,FSU/Firm Foundation plain text/FF 1966,,
1967,Firm Foundation,84,836,Y,FSU/Firm Foundation plain text/FF 1967,,
1968,Firm Foundation,85,832,Y,FSU/Firm Foundation plain text/FF 1968,,
1969,Firm Foundation,86,816,Y,FSU/Firm Foundation plain text/FF 1969,,
1970,Firm Foundation,87,816,Y,FSU/Firm Foundation plain text/FF 1970,,
1971,Firm Foundation,88,816,Y,FSU/Firm Foundation plain text/FF 1971,,
1972,Firm Foundation,89,816,Y,FSU/Firm Foundation plain text/FF 1972,,
1973,Firm Foundation,90,816,Y,FSU/Firm Foundation plain text/FF 1973,,
1974,Firm Foundation,91,832,Y,FSU/Firm Foundation plain text/FF 1974,,
1975,Firm Foundation,92,816,Y,FSU/Firm Foundation plain text/FF 1975,,
1976,Firm Foundation,93,816,Y,FSU/Firm Foundation plain text/FF 1976,,
1977,Firm Foundation,94,816,Y,FSU/Firm Foundation plain text/FF 1977,,
1978,Firm Foundation,95,816,Y,FSU/Firm Foundation plain text/FF 1978,,
1979,Firm Foundation,96,817,Y,FSU/Firm Foundation plain text/FF 1979,,