Issue	Word	Count	Per million			
1945-05-22	church	108	4945.508			
1945-05-22	work	84	3846.506			
1945-05-22	christ	70	3205.4219			
1945-05-22	meeting	60	2747.5044			
1945-05-22	texas	55	2518.5457			
1945-05-22	brother	49	2243.7952			
1945-05-22	new	47	2152.2117			
1945-05-22	time	42	1923.253			
1945-05-22	god	36	1648.5027			
1945-05-22	bible	35	1602.7109			
1945-05-22	good	35	1602.7109			
1945-05-22	love	34	1556.9192			
1945-05-22	gospel	33	1511.1273			
1945-05-22	men	33	1511.1273			
1945-05-22	building	31	1419.5438			
1945-05-22	city	28	1282.1687			
1945-05-22	house	28	1282.1687			
1945-05-22	april	27	1236.377			
1945-05-22	congregation	26	1190.5852			
1945-05-22	foundation	26	1190.5852			
1945-05-22	mrs	24	1099.0017			
1945-05-22	page	24	1099.0017			
1945-05-22	baptized	23	1053.21			
1945-05-22	book	23	1053.21			
1945-05-22	sunday	23	1053.21			
1945-05-22	firm	22	1007.4183			
1945-05-22	churches	21	961.6265			
1945-05-22	day	21	961.6265			
1945-05-22	eddy	20	915.8348			
1945-05-22	science	20	915.8348			
1945-05-22	way	20	915.8348			
1945-05-22	man	19	870.0431			
1945-05-22	plan	19	870.0431			
1945-05-22	spirit	19	870.0431			
1945-05-22	box	18	824.25134			
1945-05-22	paul	18	824.25134			
1945-05-22	people	18	824.25134			
1945-05-22	king	17	778.4596			
1945-05-22	worship	17	778.4596			
1945-05-22	place	16	732.6678			
1945-05-22	present	16	732.6678			
1945-05-22	year	16	732.6678			
1945-05-22	years	16	732.6678			
1945-05-22	fine	15	686.8761			
1945-05-22	sister	15	686.8761			
1945-05-22	world	15	686.8761			
1945-05-22	christian	14	641.08435			
1945-05-22	holy	14	641.08435			
1945-05-22	mary	14	641.08435			
1945-05-22	members	14	641.08435			
1945-05-22	rockingham	14	641.08435			
1945-05-22	service	14	641.08435			
1945-05-22	tuesday	14	641.08435			
1945-05-22	great	13	595.2926			
1945-05-22	know	13	595.2926			
1945-05-22	need	13	595.2926			
1945-05-22	night	13	595.2926			
1945-05-22	order	13	595.2926			
1945-05-22	power	13	595.2926			
1945-05-22	testament	13	595.2926			
1945-05-22	let	12	549.50085			
1945-05-22	preach	12	549.50085			
1945-05-22	states	12	549.50085			
1945-05-22	best	11	503.70914			
1945-05-22	brethren	11	503.70914			
1945-05-22	christians	11	503.70914			
1945-05-22	like	11	503.70914			
1945-05-22	lord's	11	503.70914			
1945-05-22	songs	11	503.70914			
1945-05-22	used	11	503.70914			
1945-05-22	woman	11	503.70914			
1945-05-22	words	11	503.70914			
1945-05-22	young	11	503.70914			
1976-08-10	church	160	8511.997			
1976-08-10	restoration	99	5266.798			
1976-08-10	christ	98	5213.5977			
1976-08-10	new	84	4468.7983			
1976-08-10	bible	59	3138.7988			
1976-08-10	movement	59	3138.7988			
1976-08-10	god	57	3032.399			
1976-08-10	testament	55	2925.9988			
1976-08-10	men	48	2553.5989			
1976-08-10	churches	42	2234.3992			
1976-08-10	unity	34	1808.7992			
1976-08-10	christians	33	1755.5992			
1976-08-10	authority	31	1649.1993			
1976-08-10	christian	30	1595.9994			
1976-08-10	time	29	1542.7994			
1976-08-10	work	29	1542.7994			
1976-08-10	lord	28	1489.5994			
1976-08-10	faith	27	1436.3994			
1976-08-10	century	26	1383.1995			
1976-08-10	word	26	1383.1995			
1976-08-10	box	23	1223.5995			
1976-08-10	brethren	23	1223.5995			
1976-08-10	things	23	1223.5995			
1976-08-10	christianity	21	1117.1996			
1976-08-10	principle	21	1117.1996			
1976-08-10	texas	21	1117.1996			
1976-08-10	worship	21	1117.1996			
1976-08-10	day	20	1063.9996			
1976-08-10	foundation	19	1010.79956			
1976-08-10	god's	19	1010.79956			
1976-08-10	people	19	1010.79956			
1976-08-10	gospel	18	957.5996			
1976-08-10	great	18	957.5996			
1976-08-10	man	18	957.5996			
1976-08-10	plea	18	957.5996			
1976-08-10	school	18	957.5996			
1976-08-10	today	18	957.5996			
1976-08-10	america	17	904.3996			
1976-08-10	believe	17	904.3996			
1976-08-10	campbell	17	904.3996			
1976-08-10	firm	17	904.3996			
1976-08-10	group	17	904.3996			
1976-08-10	human	17	904.3996			
1976-08-10	just	17	904.3996			
1976-08-10	old	17	904.3996			
1976-08-10	preacher	17	904.3996			
1976-08-10	preaching	17	904.3996			
1976-08-10	divine	16	851.19965			
1976-08-10	good	16	851.19965			
1976-08-10	jesus	16	851.19965			
1976-08-10	know	16	851.19965			
1976-08-10	let	16	851.19965			
1976-08-10	lord's	16	851.19965			
1976-08-10	said	16	851.19965			
1976-08-10	scriptures	16	851.19965			
1976-08-10	world	16	851.19965			
1976-08-10	years	16	851.19965			
1976-08-10	address	15	797.9997			
1976-08-10	came	15	797.9997			
1976-08-10	congregation	15	797.9997			
1976-08-10	need	15	797.9997			
1976-08-10	place	15	797.9997			
1976-08-10	teaching	15	797.9997			
1976-08-10	way	15	797.9997			
1976-08-10	august	14	744.7997			
1976-08-10	bus	14	744.7997			
1976-08-10	disciples	14	744.7997			
1976-08-10	effort	14	744.7997			
1976-08-10	little	14	744.7997			
1976-08-10	members	14	744.7997			
1976-08-10	religious	14	744.7997			
1976-08-10	truth	14	744.7997			
1976-08-10	year	14	744.7997			
1976-08-10	continued	13	691.59973			
1976-08-10	house	13	691.59973			
1976-08-10	page	13	691.59973			
1976-08-10	pattern	13	691.59973			
1976-08-10	phone	13	691.59973			
1976-08-10	spirit	13	691.59973			
1976-08-10	area	12	638.3997			
1976-08-10	baptism	12	638.3997			
1976-08-10	become	12	638.3997			
1976-08-10	beginning	12	638.3997			
1976-08-10	communion	12	638.3997			
1976-08-10	future	12	638.3997			
1976-08-10	holy	12	638.3997			
1976-08-10	minister	12	638.3997			
1976-08-10	send	12	638.3997			
1976-08-10	TRUE	12	638.3997			
1976-08-10	come	11	585.19977			
1976-08-10	contact	11	585.19977			
1976-08-10	groups	11	585.19977			
1976-08-10	make	11	585.19977			
1976-08-10	ought	11	585.19977			
1976-08-10	paul	11	585.19977			
1976-08-10	present	11	585.19977			
1976-08-10	salvation	11	585.19977			
1976-08-10	set	11	585.19977			
